id,name,tag_category_id
68ed20e51c787e2365e46e9b,sống,cooking_method_cat
68ed20e51c787e2365e46e9e,ướp,cooking_method_cat
68ed20e51c787e2365e46ea1,luộc,cooking_method_cat
68ed20e51c787e2365e46ea4,nấu nhỏ lửa,cooking_method_cat
68ed20e51c787e2365e46ea7,hấp,cooking_method_cat
68ed20e51c787e2365e46eaa,chần,cooking_method_cat
68ed20e51c787e2365e46ead,trụng,cooking_method_cat
68ed20e51c787e2365e46eb0,xào,cooking_method_cat
68ed20e61c787e2365e46eb3,rán chảo,cooking_method_cat
68ed20e61c787e2365e46eb6,chiên ngập dầu,cooking_method_cat
68ed20e61c787e2365e46eb9,nướng,cooking_method_cat
68ed20e61c787e2365e46ebc,quay,cooking_method_cat
68ed20e61c787e2365e46ebf,nướng lò,cooking_method_cat
68ed20e61c787e2365e46ec2,om,cooking_method_cat
68ed20e61c787e2365e46ec5,hầm,cooking_method_cat
68ed20e61c787e2365e46ec8,hun khói,cooking_method_cat
68ed20e71c787e2365e46ecb,áp chảo,cooking_method_cat
